               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11644,            0.033043,            0.052117,          0.00054096,            0.084605,           0.0027107,          0.00070046,             0.10128,            0.034708,            0.044544,              0.0712,              0.0032,              0.0032
                   1,            0.095658,            0.036478,            0.036738,            0.060705,             0.25627,            0.049372,            0.010918,            0.096199,            0.031487,            0.026626,            0.041371,           0.0063713,           0.0063713
                   2,            0.086021,            0.034274,            0.026513,             0.28175,             0.21701,             0.17133,            0.046263,             0.07762,            0.028072,              0.0199,            0.011412,           0.0094119,           0.0094119
                   3,            0.080849,            0.030274,            0.020466,             0.06823,             0.22471,              0.1322,            0.053927,             0.07747,             0.02311,            0.015663,            0.009406,            0.009406,            0.009406
                   4,            0.071465,            0.029825,            0.015948,             0.11493,             0.48255,             0.23099,            0.069276,            0.072051,             0.02209,           0.0098178,            0.009406,            0.009406,            0.009406
                   5,            0.065288,            0.028754,             0.01283,             0.27878,             0.75099,             0.42626,             0.15001,            0.060797,            0.021914,           0.0079425,            0.009208,            0.009208,            0.009208
                   6,            0.060247,            0.027986,            0.011181,             0.21844,             0.63705,             0.28904,             0.10187,            0.067082,            0.020776,           0.0067458,             0.00901,             0.00901,             0.00901
                   7,             0.05822,            0.026975,           0.0096539,             0.46916,             0.81281,             0.62214,             0.28819,            0.047462,            0.020447,           0.0063066,            0.008812,            0.008812,            0.008812
                   8,            0.054038,             0.02595,           0.0089684,             0.51594,             0.84972,             0.68804,             0.27452,            0.050479,            0.019939,           0.0052622,            0.008614,            0.008614,            0.008614
                   9,             0.05239,            0.024675,           0.0078372,             0.65823,             0.79961,             0.73523,             0.26798,            0.049606,            0.019614,           0.0050688,            0.008416,            0.008416,            0.008416
                  10,            0.048996,            0.023905,           0.0071019,             0.70865,              0.8641,              0.7904,             0.35258,             0.04238,            0.020211,           0.0049405,            0.008218,            0.008218,            0.008218
                  11,            0.047776,            0.024121,           0.0066133,             0.71424,              0.8701,             0.84829,             0.38128,            0.040025,            0.018678,           0.0045333,             0.00802,             0.00802,             0.00802
                  12,            0.045703,            0.024077,           0.0064379,             0.68196,              0.7832,             0.78954,             0.33367,            0.041528,            0.019087,            0.004346,            0.007822,            0.007822,            0.007822
                  13,            0.043756,            0.022492,           0.0059183,             0.73816,             0.90316,             0.86592,             0.37188,            0.042587,            0.017897,           0.0041417,            0.007624,            0.007624,            0.007624
                  14,            0.043379,            0.023954,           0.0055513,             0.77299,             0.89321,             0.86707,             0.42403,            0.040976,            0.018028,           0.0039962,            0.007426,            0.007426,            0.007426
                  15,            0.041657,            0.022397,           0.0055277,             0.59823,             0.87715,             0.75597,             0.35114,            0.039803,            0.019352,           0.0044899,            0.007228,            0.007228,            0.007228
                  16,            0.041133,            0.022561,           0.0051327,             0.81418,             0.86985,             0.87383,             0.42312,            0.036048,            0.018165,           0.0036253,             0.00703,             0.00703,             0.00703
                  17,            0.040306,            0.022479,           0.0051376,             0.82174,              0.8674,             0.88099,             0.44677,            0.036485,            0.017799,           0.0035004,            0.006832,            0.006832,            0.006832
