               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11491,            0.033315,            0.051205,           0.0019726,             0.13634,           0.0013957,          0.00031947,                 nan,                 nan,                 nan,            0.070455,           0.0032828,           0.0032828
                   1,            0.092062,            0.037708,             0.03565,            0.022637,             0.34209,            0.026348,           0.0068348,                 nan,                 nan,                 nan,            0.040324,           0.0064852,           0.0064852
                   2,            0.084343,            0.034559,            0.026605,             0.19093,             0.16903,            0.074158,            0.022604,                 nan,                 nan,                 nan,            0.010061,           0.0095555,           0.0095555
                   3,            0.080505,            0.031249,            0.020991,             0.44189,             0.41941,             0.33925,            0.094448,                 nan,                 nan,                 nan,            0.009406,            0.009406,            0.009406
                   4,            0.070867,            0.030484,            0.016426,             0.34346,             0.78051,             0.41429,             0.11507,                 nan,                 nan,                 nan,            0.009406,            0.009406,            0.009406
                   5,            0.064925,            0.028063,            0.013325,              0.3584,             0.76458,             0.49634,             0.15512,                 nan,                 nan,                 nan,            0.009208,            0.009208,            0.009208
                   6,            0.061921,            0.027426,            0.011246,             0.47114,             0.72966,             0.51398,             0.18349,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                   7,            0.056602,            0.026388,           0.0098097,             0.36164,             0.75196,             0.48806,             0.17333,                 nan,                 nan,                 nan,            0.008812,            0.008812,            0.008812
                   8,            0.054376,            0.025604,           0.0086893,             0.68629,             0.87763,             0.80195,             0.30581,                 nan,                 nan,                 nan,            0.008614,            0.008614,            0.008614
                   9,            0.051974,             0.02486,            0.007939,             0.71519,             0.82528,             0.80033,             0.34623,                 nan,                 nan,                 nan,            0.008416,            0.008416,            0.008416
                  10,            0.048792,            0.023874,           0.0071375,             0.63086,             0.88051,             0.78389,             0.32347,                 nan,                 nan,                 nan,            0.008218,            0.008218,            0.008218
                  11,            0.048797,            0.023812,           0.0065216,             0.63499,             0.78186,              0.7265,             0.32916,                 nan,                 nan,                 nan,             0.00802,             0.00802,             0.00802
                  12,            0.046789,            0.023448,           0.0062023,             0.62168,             0.85343,             0.71964,             0.33793,                 nan,                 nan,                 nan,            0.007822,            0.007822,            0.007822
                  13,            0.044582,            0.022854,            0.005687,             0.65878,             0.78868,             0.75539,             0.33452,                 nan,                 nan,                 nan,            0.007624,            0.007624,            0.007624
                  14,            0.043486,            0.023258,           0.0058225,             0.72651,             0.78666,             0.77088,             0.34697,                 nan,                 nan,                 nan,            0.007426,            0.007426,            0.007426
                  15,            0.042241,            0.022343,           0.0055067,             0.84034,             0.88394,             0.87506,             0.41816,                 nan,                 nan,                 nan,            0.007228,            0.007228,            0.007228
                  16,            0.040318,            0.022761,           0.0049528,             0.78422,             0.87976,             0.82958,             0.37061,                 nan,                 nan,                 nan,             0.00703,             0.00703,             0.00703
                  17,            0.040581,            0.022327,           0.0046051,             0.82547,             0.85094,             0.83961,             0.39106,                 nan,                 nan,                 nan,            0.006832,            0.006832,            0.006832
                  18,            0.040254,            0.022525,           0.0052292,             0.77242,             0.80944,             0.80691,             0.38387,                 nan,                 nan,                 nan,            0.006634,            0.006634,            0.006634
                  19,            0.038263,            0.022141,           0.0046434,              0.8461,             0.84508,             0.87784,             0.40546,                 nan,                 nan,                 nan,            0.006436,            0.006436,            0.006436
                  20,            0.038502,            0.021722,           0.0047081,             0.78794,             0.85263,             0.82628,             0.39458,                 nan,                 nan,                 nan,            0.006238,            0.006238,            0.006238
                  21,            0.037316,            0.021967,           0.0044301,             0.85214,             0.84945,             0.89448,             0.47865,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                  22,            0.035936,            0.021034,           0.0042122,             0.88378,             0.81577,              0.8928,             0.44344,                 nan,                 nan,                 nan,            0.005842,            0.005842,            0.005842
                  23,            0.035995,            0.021186,           0.0039522,              0.8291,               0.893,             0.88836,             0.45901,                 nan,                 nan,                 nan,            0.005644,            0.005644,            0.005644
                  24,            0.034404,            0.021177,           0.0038215,             0.86531,             0.87398,             0.89454,               0.484,                 nan,                 nan,                 nan,            0.005446,            0.005446,            0.005446
                  25,            0.034221,            0.021384,            0.003911,             0.86396,             0.87703,             0.88727,             0.48392,                 nan,                 nan,                 nan,            0.005248,            0.005248,            0.005248
                  26,            0.033864,            0.021583,           0.0039357,             0.84911,             0.88626,             0.89459,             0.49466,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                  27,            0.032998,            0.020436,           0.0035888,             0.85789,             0.87151,             0.90665,             0.51267,                 nan,                 nan,                 nan,            0.004852,            0.004852,            0.004852
                  28,            0.032787,            0.020512,           0.0035411,             0.85026,             0.88432,             0.89298,             0.48155,                 nan,                 nan,                 nan,            0.004654,            0.004654,            0.004654
                  29,            0.032635,            0.020583,           0.0033586,             0.88153,             0.81918,             0.88117,              0.4677,                 nan,                 nan,                 nan,            0.004456,            0.004456,            0.004456
                  30,             0.03121,            0.020599,           0.0032499,             0.83406,             0.89463,              0.8885,              0.5146,                 nan,                 nan,                 nan,            0.004258,            0.004258,            0.004258
                  31,            0.030597,            0.019976,           0.0035041,             0.86288,             0.85322,              0.8933,             0.48782,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                  32,            0.030704,            0.019321,           0.0033934,             0.88168,              0.8295,             0.86636,             0.48646,                 nan,                 nan,                 nan,            0.003862,            0.003862,            0.003862
                  33,            0.029882,            0.019932,           0.0032487,             0.86646,             0.85436,             0.88338,             0.50704,                 nan,                 nan,                 nan,            0.003664,            0.003664,            0.003664
                  34,            0.029599,            0.020182,           0.0030414,             0.87564,             0.86982,             0.89305,             0.49011,                 nan,                 nan,                 nan,            0.003466,            0.003466,            0.003466
                  35,            0.028723,            0.020191,           0.0029708,              0.8016,             0.85692,             0.83759,             0.47577,                 nan,                 nan,                 nan,            0.003268,            0.003268,            0.003268
